A B C D classA classB
-2.253 1.759 -1.832 2.194 1 0
-2.817 -0.643 -1.806 2.256 1 0
-1.988 2.14 -1.674 2.394 1 0
-1.644 2.452 -2.404 1.713 1 0
0.888 2.849 -2.873 0.807 1 0
-2.981 0.455 -0.683 2.937 1 0
-2.898 0.94 -2.804 1.192 1 0
-2.851 1.159 -3.012 0.632 1 0
-2.902 1.116 -2.071 2.32 1 0
-2.4 2.027 -2.554 1.828 1 0
-2.945 1.179 -0.759 -3.08 1 0
-3.204 0.012 -2.646 1.806 1 0
-2.854 -1.523 -3.194 0.516 1 0
-3.075 1.101 -1.999 2.584 1 0
-3.071 -1.203 -3.288 0.262 1 0
-3.082 -1.259 -2.139 -2.551 1 0
-0.383 -3.339 -3.282 -0.723 1 0
-2.51 2.282 -3.338 -0.604 1 0
-3.162 1.313 -3.3 -0.91 1 0
-3.238 -1.206 -3.378 -0.727 1 0
-1.982 -2.868 -3.482 -0.176 1 0
-3.5 0.354 -3.416 -0.842 1 0
-2.932 -2.0 -1.696 -3.118 1 0
-3.47 -0.882 -3.09 -1.81 1 0
-0.763 -3.531 -2.004 -3.005 1 0
-2.532 -2.62 -3.091 -1.929 1 0
-3.172 -1.856 -0.642 -3.618 1 0
-1.874 -3.198 -1.405 -3.43 1 0
-1.863 -3.241 -3.72 -0.368 1 0
-0.273 -3.759 -3.765 -0.189 1 0
-1.451 -3.513 -2.365 -2.975 1 0
-0.98 -3.705 0.326 -3.818 1 0
1.138 -3.692 -2.293 -3.11 1 0
-0.405 -3.874 -3.452 -1.804 1 0
-2.824 -2.728 -2.82 -2.732 1 0
0.823 -3.871 -1.069 -3.811 1 0
0.789 -3.91 -0.287 -3.979 1 0
-2.472 -3.171 -3.478 -2.018 1 0
2.068 -3.485 1.28 -3.845 1 0
0.403 -4.064 -1.298 -3.872 1 0
1.088 -3.968 -0.231 -4.108 1 0
4.063 -0.826 -0.243 -4.139 1 0
4.033 -1.089 -2.223 -3.537 1 0
0.02 -4.209 0.958 -4.099 1 0
-0.144 -4.238 1.871 -3.805 1 0
2.799 -3.227 2.99 -3.051 1 0
0.477 -4.277 3.683 -2.225 1 0
4.333 0.126 4.102 -1.4 1 0
3.382 -2.762 2.478 -3.595 1 0
3.536 -2.614 0.325 -4.386 1 0
1.872 -4.014 0.349 -4.415 1 0
1.749 -4.103 2.511 -3.686 1 0
4.298 1.305 4.025 -1.994 1 0
2.131 -3.99 3.433 -2.945 1 0
4.318 -1.448 4.536 0.416 1 0
4.557 0.514 4.114 -2.027 1 0
3.883 2.499 4.291 1.706 1 0
4.196 -2.002 3.943 2.462 1 0
4.289 1.875 0.257 -4.673 1 0
4.17 -2.193 3.855 -2.71 1 0
4.724 0.421 4.731 0.332 1 0
3.364 -3.388 4.245 -2.186 1 0
2.606 -4.038 4.784 -0.462 1 0
-1.61 -0.532 -1.437 -0.901 0 1
-1.446 -0.945 -1.726 0.066 0 1
-1.742 0.239 -1.267 -1.22 0 1
-1.493 -0.988 -1.772 0.251 0 1
-1.483 -1.058 -1.797 -0.299 0 1
-1.725 0.676 -1.828 0.305 0 1
-1.362 -1.303 -1.615 -0.97 0 1
-1.334 -1.375 -1.637 -0.996 0 1
-1.453 -1.296 -0.955 -1.697 0 1
-0.533 -1.905 -1.952 -0.323 0 1
-1.178 -1.628 -1.494 -1.345 0 1
-1.788 -0.985 -1.453 -1.433 0 1
-1.932 -0.75 -1.349 -1.574 0 1
-1.718 -1.215 -0.666 -1.996 0 1
0.436 -2.091 -1.867 -1.037 0 1
-0.371 -2.135 -1.881 -1.077 0 1
-2.008 -0.896 -1.105 -1.901 0 1
0.222 -2.219 -1.195 -1.883 0 1
-1.858 -1.288 -1.728 -1.459 0 1
0.902 -2.108 1.074 -2.026 0 1
-0.94 -2.126 -2.263 -0.528 0 1
-0.49 -2.304 -1.146 -2.058 0 1
-0.834 -2.236 0.299 -2.368 0 1
0.623 -2.337 -1.886 -1.514 0 1
0.661 -2.359 -1.313 -2.068 0 1
-0.384 -2.451 -0.72 -2.374 0 1
-0.301 -2.495 0.255 -2.5 0 1
-0.117 -2.541 2.36 -0.951 0 1
2.497 -0.63 -0.844 -2.433 0 1
-0.36 -2.582 0.249 -2.595 0 1
-0.099 -2.636 0.591 -2.571 0 1
0.367 -2.644 1.777 -1.993 0 1
2.355 -1.322 2.158 -1.624 0 1
0.113 -2.73 0.64 -2.656 0 1
2.145 -1.743 1.798 -2.099 0 1
0.762 -2.689 2.695 -0.741 0 1
0.166 -2.822 -1.625 -2.313 0 1
2.813 -0.504 2.311 -1.682 0 1
0.626 -2.821 2.786 -0.768 0 1
1.591 -2.45 1.553 -2.474 0 1
2.861 -0.73 1.132 -2.727 0 1
1.263 -2.703 2.543 -1.561 0 1
2.928 -0.721 2.931 0.71 0 1
2.95 -0.763 1.934 -2.354 0 1
3.068 -0.243 3.031 -0.539 0 1
3.0 0.818 1.147 -2.89 0 1
2.463 -1.949 2.656 -1.676 0 1
1.946 2.506 3.049 -0.875 0 1
3.202 -0.112 3.192 -0.27 0 1
3.039 1.109 3.162 -0.684 0 1
3.048 1.175 2.453 -2.157 0 1
2.987 -1.398 2.957 -1.46 0 1
2.859 1.706 3.001 1.443 0 1
3.288 0.695 1.285 3.105 0 1
3.384 0.23 2.966 -1.646 0 1
3.183 1.26 3.299 0.915 0 1
0.909 3.333 2.336 2.546 0 1
3.483 -0.153 3.065 1.661 0 1
3.028 1.791 2.642 2.322 0 1
2.553 2.466 2.647 2.365 0 1
0.189 3.576 3.531 0.595 0 1
3.583 -0.462 3.332 1.394 0 1
3.315 1.512 3.643 -0.061 0 1
3.384 1.433 2.566 2.63 0 1
-1.067 3.55 2.754 2.481 0 1
0.124 3.736 -1.755 3.3 0 1
1.792 3.316 1.436 3.485 0 1
-0.381 3.782 1.972 3.249 0 1
1.551 3.504 2.534 2.875 0 1
3.294 2.019 -0.577 3.82 0 1
1.799 3.454 1.913 3.393 0 1
-1.217 3.733 0.627 3.876 0 1
-0.996 3.83 -0.673 3.9 0 1
-0.648 3.936 -0.933 3.878 0 1
-0.047 4.02 1.474 3.741 0 1
-0.24 4.045 -1.142 3.888 0 1
-1.19 3.906 -3.669 1.792 0 1
-1.172 3.944 -2.377 3.359 0 1
1.376 3.911 1.574 3.836 0 1
-1.171 4.01 0.728 4.114 0 1
-3.451 2.41 -0.389 4.191 0 1
-0.718 4.179 0.622 4.195 0 1
-2.507 3.459 -1.708 3.916 0 1
-2.912 3.168 -1.335 4.091 0 1
-0.878 4.245 -0.902 4.24 0 1
-2.287 3.719 -2.504 3.577 0 1
-4.387 -0.298 -3.177 3.04 0 1
-2.106 3.896 -1.288 4.238 0 1
-2.74 3.52 -2.065 3.954 0 1
-1.688 4.163 -3.255 3.095 0 1
-0.919 4.429 -4.187 1.712 0 1
-4.454 0.952 -4.081 2.022 0 1
-4.118 -2.018 -3.591 2.853 0 1
-3.943 2.402 -4.242 1.823 0 1
-3.934 2.477 -2.252 4.067 0 1
-4.395 1.61 -3.597 2.995 0 1
-3.987 2.51 -3.937 2.588 0 1
-4.301 -1.999 -4.504 1.487 0 1
-4.366 1.933 -3.45 -3.301 0 1
-0.891 4.723 -4.192 2.35 0 1
1.484 0.821 1.683 0.212 1 0
1.657 -0.489 1.249 1.193 1 0
1.665 -0.566 1.641 0.632 1 0
1.734 0.446 1.242 1.289 1 0
1.744 0.527 1.813 0.171 1 0
1.328 1.292 1.529 1.046 1 0
1.492 1.151 1.874 0.193 1 0
1.865 -0.44 1.855 0.477 1 0
1.57 1.151 1.7 0.95 1 0
1.952 0.326 1.963 0.246 1 0
0.641 1.905 0.417 1.966 1 0
1.583 1.289 1.639 1.217 1 0
0.742 1.935 -0.861 1.885 1 0
-0.261 2.088 1.951 0.787 1 0
1.49 1.53 0.976 1.9 1 0
-0.764 2.028 0.214 2.156 1 0
1.802 1.259 1.418 1.68 1 0
0.876 2.05 1.78 1.343 1 0
1.394 1.781 1.569 1.628 1 0
0.266 2.277 -0.414 2.255 1 0
1.493 1.781 -0.157 2.319 1 0
-0.044 2.355 1.118 2.073 1 0
0.089 2.385 -0.724 2.274 1 0
0.835 2.27 -1.202 2.098 1 0
1.96 1.469 0.238 2.438 1 0
0.703 2.38 0.56 2.417 1 0
1.169 2.224 0.593 2.442 1 0
-0.681 2.451 1.944 1.64 1 0
-0.402 2.544 -1.715 1.921 1 0
-0.975 2.418 -0.495 2.559 1 0
1.298 2.297 0.499 2.591 1 0
0.159 2.665 -1.308 2.327 1 0
-0.859 2.561 -1.557 2.207 1 0
-2.089 1.761 2.179 1.648 1 0
0.822 2.639 -0.841 2.633 1 0
-1.444 2.394 -1.0 2.611 1 0
-1.103 2.603 0.201 2.82 1 0
-2.339 1.642 -2.381 1.581 1 0
-0.558 2.835 -2.813 -0.661 1 0
-1.717 2.363 -2.678 1.166 1 0
-2.202 1.967 -2.713 1.164 1 0
-2.978 0.189 -2.96 0.376 1 0
-2.965 0.548 -2.275 1.978 1 0
-2.789 1.225 -2.973 0.665 1 0
-1.758 2.527 -3.055 0.375 1 0
-3.08 -0.427 -3.009 0.786 1 0
-3.101 0.5 -1.827 2.555 1 0
-1.693 2.683 -3.15 -0.377 1 0
-2.511 1.989 -2.426 2.093 1 0
-3.235 -0.065 -2.97 -1.283 1 0
-3.247 0.361 -3.258 -0.236 1 0
-3.151 -0.975 -2.636 -1.982 1 0
-3.254 -0.704 -2.642 2.026 1 0
-2.921 -1.662 -2.125 -2.604 1 0
-3.378 0.316 -2.67 2.093 1 0
-3.317 -0.847 -3.368 -0.616 1 0
-3.45 -0.187 -3.171 -1.373 1 0
0.234 -3.479 -2.728 -2.171 1 0
-3.26 -1.322 -3.216 -1.426 1 0
-3.271 -1.378 -2.772 -2.216 1 0
-1.156 -3.389 -0.933 -3.457 1 0
-2.178 -2.882 -3.549 -0.673 1 0
-2.665 -2.485 -2.622 -2.53 1 0
-2.943 -2.201 -0.708 -3.606 1 0
-1.598 -3.344 -2.268 -2.931 1 0
-2.08 -3.106 -1.659 -3.349 1 0
-2.914 -2.391 -2.92 -2.384 1 0
-3.76 -0.557 -2.567 -2.803 1 0
-2.876 -2.533 -3.684 -1.055 1 0
-0.288 -3.853 -1.186 -3.677 1 0
-1.25 -3.689 0.901 -3.789 1 0
-0.189 -3.922 -0.72 -3.86 1 0
-3.273 -2.225 1.262 -3.751 1 0
0.483 -3.96 0.668 -3.933 1 0
2.241 -3.338 -1.959 -3.511 1 0
2.982 -2.743 2.736 -2.988 1 0
-1.898 -3.615 -0.018 -4.083 1 0
1.951 -3.623 -2.072 -3.555 1 0
0.542 -4.111 2.667 -3.175 1 0
0.561 -4.14 2.893 -3.014 1 0
2.831 -3.115 3.816 -1.775 1 0
2.245 -3.598 0.065 -4.24 1 0
3.037 -3.005 -0.738 -4.208 1 0
2.024 -3.798 4.073 -1.388 1 0
2.745 -3.355 -0.81 -4.258 1 0
2.001 -3.88 3.667 -2.37 1 0
2.959 -3.253 2.475 -3.635 1 0
4.412 0.384 2.574 -3.604 1 0
0.937 -4.361 1.23 -4.288 1 0
4.478 -0.348 0.886 -4.403 1 0
4.522 0.094 1.657 -4.209 1 0
4.051 -2.081 1.381 -4.34 1 0
3.48 -2.986 3.687 -2.727 1 0
4.367 -1.499 2.915 -3.581 1 0
4.608 0.617 4.648 -0.089 1 0
4.627 0.704 4.562 -1.048 1 0
4.693 -0.423 3.349 -3.315 1 0
4.74 -0.173 4.41 -1.746 1 0
4.775 -0.009 4.494 -1.612 1 0
4.69 -1.048 4.777 -0.528 1 0
-1.666 0.316 -1.423 -0.923 0 1
-1.658 0.485 -1.721 0.145 0 1
-0.854 -1.537 -1.25 -1.237 0 1
-1.744 -0.402 -1.748 0.385 0 1
-1.502 1.03 -1.474 1.07 0 1
-0.037 -1.853 -1.794 -0.464 0 1
-1.318 -1.347 -1.364 1.3 0 1
-1.389 -1.319 -1.808 -0.633 0 1
-1.915 -0.353 -1.68 -0.984 0 1
-1.67 -1.062 -1.977 0.067 0 1
-1.743 -1.001 -1.91 -0.627 0 1
-1.925 -0.679 -1.944 -0.624 0 1
-0.811 -1.907 -0.819 -1.904 0 1
-2.055 0.452 -2.103 -0.08 0 1
-1.92 -0.936 -1.726 -1.257 0 1
0.628 -2.074 -1.129 -1.85 0 1
-1.185 -1.852 -1.505 -1.603 0 1
-1.946 -1.089 -1.665 -1.483 0 1
0.122 -2.258 -0.09 -2.26 0 1
-1.229 -1.935 1.843 -1.363 0 1
-0.15 -2.319 -0.951 -2.121 0 1
-0.363 -2.327 0.353 -2.329 0 1
-1.566 -1.801 1.162 -2.085 0 1
0.403 -2.385 -0.594 -2.344 0 1
-1.419 -1.997 -2.306 -0.826 0 1
1.76 -1.749 -0.491 -2.432 0 1
0.126 -2.509 0.279 -2.497 0 1
-0.769 -2.425 -1.137 -2.276 0 1
0.583 -2.509 -0.471 -2.532 0 1
0.944 -2.43 1.249 -2.288 0 1
0.605 -2.568 0.163 -2.633 0 1
1.296 -2.334 0.218 -2.661 0 1
-0.005 -2.701 1.019 -2.502 0 1
2.262 -1.532 1.126 -2.49 0 1
2.083 -1.816 1.77 -2.123 0 1
2.219 -1.7 -0.753 -2.692 0 1
1.429 -2.439 2.152 -1.833 0 1
1.254 -2.569 1.702 -2.296 0 1
2.042 -2.045 2.886 0.15 0 1
1.972 -2.155 1.291 -2.62 0 1
2.095 -2.08 2.867 0.705 0 1
2.983 -0.065 2.057 -2.161 0 1
2.991 0.385 2.738 -1.262 0 1
1.739 -2.502 1.872 -2.403 0 1
3.018 0.606 2.615 -1.624 0 1
3.095 0.302 2.413 -1.962 0 1
2.055 -2.375 2.282 -2.158 0 1
1.345 -2.873 3.0 1.031 0 1
3.138 -0.647 2.91 1.34 0 1
2.822 -1.582 3.095 0.943 0 1
2.789 -1.7 3.069 1.119 0 1
3.289 0.247 3.243 0.598 0 1
3.153 -1.07 3.318 -0.276 0 1
3.162 1.138 3.322 0.512 0 1
3.032 1.522 2.583 2.199 0 1
2.988 1.672 2.306 2.531 0 1
2.95 1.799 2.714 2.138 0 1
3.431 0.62 2.182 2.719 0 1
3.0 1.837 2.837 2.08 0 1
-0.911 3.43 0.699 3.48 0 1
2.953 2.025 3.083 1.821 0 1
3.607 -0.196 2.317 2.771 0 1
-0.205 3.638 3.641 0.129 0 1
0.97 3.545 3.673 -0.11 0 1
3.624 0.779 3.658 -0.6 0 1
3.673 0.696 0.101 3.736 0 1
2.57 2.757 3.258 1.896 0 1
3.161 2.111 -1.548 3.471 0 1
2.654 2.764 2.784 2.633 0 1
2.793 2.669 -2.211 3.168 0 1
-0.665 3.838 0.036 3.895 0 1
3.894 -0.505 1.212 3.735 0 1
-1.003 3.828 0.149 3.955 0 1
0.171 3.986 -3.01 2.618 0 1
0.738 3.952 0.984 3.898 0 1
-2.203 3.4 -1.109 3.897 0 1
-0.448 4.059 3.3 2.406 0 1
-0.14 4.112 4.056 -0.695 0 1
-1.453 3.883 1.974 3.646 0 1
-0.921 4.075 -0.943 4.07 0 1
-4.077 1.045 0.926 4.106 0 1
-3.425 2.5 -1.657 3.903 0 1
-2.417 3.522 -2.43 3.513 0 1
-1.924 3.849 -3.593 2.369 0 1
-3.495 2.564 -2.249 3.706 0 1
2.621 3.492 -1.144 4.214 0 1
-2.047 3.892 -3.336 2.866 0 1
-3.721 2.403 -3.813 2.254 0 1
-4.374 0.874 -3.721 2.46 0 1
-4.228 1.516 -0.866 4.408 0 1
-4.202 -1.674 -1.803 4.148 0 1
-4.54 0.365 -3.678 2.687 0 1
-4.41 1.257 -3.374 3.106 0 1
-4.041 2.235 -2.801 3.671 0 1
-4.635 0.359 -4.204 -1.984 0 1
-3.878 -2.62 -2.839 -3.721 0 1
-4.607 -0.986 -4.619 -0.932 0 1
-4.159 2.281 -4.685 0.742 0 1
-4.747 -0.511 -4.721 -0.712 0 1
-2.434 4.144 -3.868 2.852 0 1
1.389 -0.973 1.674 0.274 1 0
1.675 0.423 1.578 0.701 1 0
1.417 1.042 0.898 1.512 1 0
1.343 1.184 1.767 0.286 1 0
1.631 -0.811 0.672 -1.693 1 0
1.158 1.446 1.267 1.352 1 0
1.318 1.347 1.675 0.862 1 0
1.637 0.995 0.689 1.787 1 0
1.922 0.31 1.947 -0.007 1 0
1.841 0.725 1.388 1.41 1 0
0.694 1.886 1.955 0.465 1 0
1.531 1.35 1.459 1.428 1 0
0.893 1.87 -0.053 2.072 1 0
1.904 0.896 0.894 1.905 1 0
0.112 2.133 1.747 1.228 1 0
-0.059 2.166 -0.286 2.148 1 0
1.925 1.061 1.077 1.917 1 0
0.978 2.004 1.542 1.611 1 0
0.717 2.144 0.832 2.102 1 0
2.177 0.718 -0.493 2.239 1 0
2.053 1.09 0.476 2.275 1 0
1.786 1.536 -0.588 2.281 1 0
-0.024 2.387 0.27 2.372 1 0
0.585 2.346 1.204 2.097 1 0
-0.543 2.389 -1.066 2.206 1 0
-1.105 2.221 -0.864 2.326 1 0
1.439 2.06 -0.618 2.436 1 0
-0.594 2.474 -1.338 2.164 1 0
0.409 2.543 0.228 2.565 1 0
-0.644 2.526 -1.864 1.823 1 0
-1.282 2.306 -0.765 2.525 1 0
-0.654 2.588 -1.625 2.118 1 0
-2.049 1.76 -2.147 1.639 1 0
-2.357 1.382 -1.516 2.273 1 0
0.727 2.667 -0.202 2.757 1 0
-0.279 2.781 -0.386 2.769 1 0
-1.955 2.041 -1.991 2.007 1 0
1.945 2.094 -2.708 0.914 1 0
0.442 2.856 -2.879 0.244 1 0
-2.248 1.865 -2.482 1.54 1 0
-2.819 0.878 -2.753 1.066 1 0
-2.659 1.354 1.481 2.59 1 0
-2.17 2.093 -2.731 1.278 1 0
-2.975 0.658 -2.997 0.547 1 0
-2.125 2.227 -1.837 -2.47 1 0
-3.065 -0.527 -2.949 0.986 1 0
-1.915 2.489 -2.107 -2.329 1 0
-3.126 0.54 -3.024 -0.959 1 0
-2.939 -1.275 -3.018 1.075 1 0
-3.207 0.428 -3.233 -0.119 1 0
-3.133 -0.923 -2.865 1.568 1 0
-2.794 -1.753 -1.982 2.636 1 0
-3.326 0.159 -3.218 0.853 1 0
-3.054 -1.402 -3.277 -0.748 1 0
-2.329 -2.466 -3.388 -0.16 1 0
-3.422 0.09 -2.454 -2.387 1 0
-2.87 -1.924 -1.855 -2.915 1 0
-3.413 -0.711 -2.794 -2.085 1 0
-3.169 -1.527 -3.361 -1.038 1 0
-3.543 0.218 -2.941 -1.987 1 0
-2.738 -2.308 -2.515 -2.549 1 0
-3.062 -1.917 -2.494 -2.613 1 0
-3.643 -0.046 -1.226 -3.431 1 0
-3.304 -1.609 0.335 -3.66 1 0
-2.197 -2.985 -3.354 -1.577 1 0
0.062 -3.737 -1.99 -3.164 1 0
-3.297 -1.826 2.381 -2.922 1 0
-1.214 -3.601 0.121 -3.799 1 0
0.924 -3.719 0.26 -3.823 1 0
-3.075 -2.339 1.87 -3.381 1 0
-0.511 -3.861 0.048 -3.895 1 0
-2.699 -2.852 -3.256 -2.195 1 0
-0.835 -3.869 -0.041 -3.958 1 0
-2.421 -3.171 0.856 -3.896 1 0
-3.353 -2.218 2.581 -3.083 1 0
-2.206 -3.399 -2.347 -3.303 1 0
-4.066 -0.374 -1.707 -3.709 1 0
0.919 -4.011 1.741 -3.728 1 0
1.06 -4.008 2.29 -3.456 1 0
-1.388 -3.94 3.283 -2.583 1 0
-0.286 -4.199 -1.646 -3.874 1 0
-2.203 -3.623 2.335 -3.54 1 0
2.051 -3.747 2.83 -3.2 1 0
-0.392 -4.285 -0.66 -4.252 1 0
-0.842 -4.252 0.85 -4.251 1 0
2.915 -3.251 3.31 -2.847 1 0
0.699 -4.342 0.75 -4.333 1 0
2.392 -3.727 3.627 -2.542 1 0
4.455 -0.216 3.762 -2.396 1 0
4.47 -0.439 3.547 -2.756 1 0
-0.577 -4.486 2.966 -3.415 1 0
4.526 -0.508 3.753 2.581 1 0
3.447 -3.025 3.908 2.399 1 0
4.298 -1.687 3.275 -3.255 1 0
4.516 1.102 3.665 -2.86 1 0
4.649 -0.543 4.543 1.124 1 0
4.609 -0.978 4.711 0.065 1 0
4.737 -0.236 4.742 -0.095 1 0
4.684 -0.925 3.815 -2.871 1 0
2.012 4.365 4.518 1.639 1 0
-1.643 -0.42 -1.398 0.959 0 1
-1.698 -0.315 -1.61 0.625 0 1
-1.645 0.623 -1.32 -1.162 0 1
-1.703 0.55 -1.775 0.235 0 1
-1.598 -0.875 -1.733 -0.561 0 1
-1.437 -1.169 -1.686 0.769 0 1
-1.584 -1.021 -1.804 -0.544 0 1
-0.091 -1.914 -0.753 -1.762 0 1
-1.928 0.27 -0.809 -1.771 0 1
-1.843 -0.719 -1.096 -1.647 0 1
-1.979 -0.354 -1.366 -1.475 0 1
-1.647 -1.206 -1.267 -1.601 0 1
0.092 -2.071 -1.989 -0.585 0 1
-1.277 -1.672 -1.027 -1.837 0 1
-1.518 -1.502 -2.119 0.263 0 1
-1.846 -1.135 0.095 -2.165 0 1
-1.95 -1.016 -1.653 -1.449 0 1
-2.229 -0.072 -0.743 -2.103 0 1
-1.214 -1.908 -0.809 -2.112 0 1
-0.063 -2.292 -0.641 -2.201 0 1
1.709 -1.575 -1.643 -1.643 0 1
-0.392 -2.323 -0.387 -2.324 0 1
0.82 -2.242 -0.543 -2.324 0 1
-1.667 -1.752 -2.167 -1.073 0 1
-0.647 -2.363 0.014 -2.45 0 1
0.19 -2.474 1.209 -2.166 0 1
-2.475 -0.434 -2.299 -1.013 0 1
1.547 -2.02 -0.332 -2.522 0 1
-1.266 -2.243 0.225 -2.566 0 1
-0.771 -2.49 0.035 -2.607 0 1
-0.988 -2.446 1.156 -2.371 0 1
2.428 -1.11 1.928 -1.846 0 1
1.098 -2.468 2.005 -1.81 0 1
2.664 -0.609 1.989 -1.874 0 1
1.937 -1.972 -1.182 -2.498 0 1
1.676 -2.237 1.817 -2.124 0 1
1.309 -2.505 2.005 -1.993 0 1
2.668 -1.024 2.181 -1.847 0 1
2.175 -1.902 2.365 -1.66 0 1
1.658 -2.405 2.72 -1.066 0 1
2.915 -0.466 2.132 -2.042 0 1
2.476 -1.666 2.983 -0.083 0 1
2.871 -0.921 2.035 -2.225 0 1
2.589 1.607 2.063 -2.242 0 1
1.478 -2.7 2.591 -1.663 0 1
3.074 -0.47 3.087 -0.373 0 1
1.697 -2.643 2.888 -1.236 0 1
2.992 -1.054 2.924 1.23 0 1
3.195 -0.242 2.511 1.989 0 1
3.235 0.013 3.126 -0.833 0 1
1.537 -2.882 1.652 -2.818 0 1
3.281 0.335 3.178 0.883 0 1
3.262 -0.669 2.706 1.939 0 1
3.359 0.102 3.303 -0.618 0 1
0.995 3.243 1.624 -2.978 0 1
2.799 1.971 3.247 -1.086 0 1
3.073 1.58 3.408 0.566 0 1
3.394 0.796 3.378 0.862 0 1
1.793 3.027 2.656 2.307 0 1
3.534 0.324 2.463 2.556 0 1
3.31 1.366 3.428 -1.033 0 1
3.08 1.887 2.985 2.034 0 1
2.411 2.732 2.974 2.105 0 1
3.162 1.873 3.426 -1.33 0 1
3.04 2.12 1.994 3.124 0 1
1.687 3.336 3.323 1.711 0 1
3.309 1.805 1.37 3.512 0 1
3.451 1.592 -0.742 3.728 0 1
-0.037 3.832 2.622 2.795 0 1
2.613 2.846 1.924 3.35 0 1
3.009 2.474 1.522 3.585 0 1
0.719 3.86 1.253 3.721 0 1
2.699 2.895 3.016 2.563 0 1
0.88 3.891 2.572 3.049 0 1
-2.166 3.387 -3.347 2.228 0 1
1.289 3.842 0.218 4.046 0 1
-1.527 3.787 -0.757 4.013 0 1
0.062 4.114 -1.262 3.916 0 1
-0.325 4.133 -1.262 3.949 0 1
-2.651 3.229 3.183 2.706 0 1
-1.963 3.724 0.215 4.204 0 1
-0.358 4.225 -2.786 3.197 0 1
-1.967 3.792 2.999 3.043 0 1
-1.177 4.139 0.378 4.287 0 1
-2.145 3.767 -2.184 3.744 0 1
-2.576 3.525 -2.643 3.476 0 1
-2.997 3.218 -1.583 4.103 0 1
0.009 4.429 -1.446 4.186 0 1
-0.461 4.437 -1.93 4.021 0 1
-3.1 3.251 -0.51 4.463 0 1
-4.053 2.008 -1.786 4.156 0 1
-4.177 1.815 -3.835 2.457 0 1
-4.38 1.358 -3.561 2.89 0 1
-4.546 0.807 -4.357 1.53 0 1
-3.583 2.963 -4.649 0.048 0 1
-3.89 2.602 -4.669 0.323 0 1
-4.475 1.475 -3.676 2.948 0 1
-4.045 -2.477 -3.522 3.177 0 1
-4.44 1.755 -4.729 0.655 0 1
-4.489 1.717 -4.535 -1.59 0 1
1.424 0.921 1.686 -0.186 1 0
1.112 1.322 1.411 0.996 1 0
1.668 -0.556 1.684 -0.506 1 0
1.63 0.739 1.622 0.758 1 0
1.821 -0.05 1.817 -0.129 1 0
1.843 -0.188 1.573 0.98 1 0
1.324 1.341 1.466 1.184 1 0
0.854 1.715 0.945 1.666 1 0
1.93 0.256 1.861 0.572 1 0
1.957 0.289 1.582 1.189 1 0
0.704 1.883 -0.832 1.83 1 0
1.34 1.54 2.008 0.37 1 0
1.749 1.112 -0.76 1.929 1 0
1.833 1.033 1.562 1.41 1 0
2.031 0.66 1.501 1.519 1 0
1.981 0.879 0.756 2.031 1 0
1.593 1.515 1.067 1.922 1 0
1.093 1.944 2.211 -0.286 1 0
0.9 2.075 1.226 1.9 1 0
-0.82 2.141 2.281 -0.227 1 0
-0.025 2.324 1.825 1.439 1 0
-0.278 2.339 -1.078 2.094 1 0
0.83 2.238 0.37 2.358 1 0
1.036 2.185 -0.567 2.351 1 0
0.44 2.41 2.2 1.077 1 0
-0.244 2.469 0.574 2.414 1 0
-0.47 2.468 0.783 2.387 1 0
-0.141 2.54 0.624 2.466 1 0
-0.099 2.574 -2.143 1.428 1 0
-2.387 1.047 0.349 2.583 1 0
-0.801 2.514 -2.409 1.076 1 0
-0.041 2.669 -0.209 2.661 1 0
-1.943 1.876 -1.017 2.502 1 0
-1.267 2.421 -2.462 1.185 1 0
0.848 2.631 -0.858 2.627 1 0
-1.546 2.329 -0.728 2.699 1 0
0.465 2.788 -2.105 1.887 1 0
-1.38 2.503 -2.433 1.499 1 0
-2.863 -0.388 -2.882 -0.21 1 0
-2.919 0.108 -2.921 0.03 1 0
-2.563 1.465 -2.352 1.784 1 0
-2.496 1.635 -2.645 1.382 1 0
-2.656 1.427 -2.772 1.185 1 0
-1.981 2.315 -2.921 -0.866 1 0
0.697 2.998 -2.907 1.011 1 0
-3.015 0.76 -3.038 -0.665 1 0
-2.997 -0.94 -2.97 -1.023 1 0
-3.043 0.897 -2.937 -1.199 1 0
-2.574 1.908 -3.166 0.488 1 0
-2.973 -1.276 -2.904 1.427 1 0
-2.973 -1.353 -2.8 -1.682 1 0
-3.264 -0.472 -1.582 -2.894 1 0
-3.297 -0.462 -3.137 -1.116 1 0
-2.988 1.538 -3.005 -1.506 1 0
-3.325 -0.67 -2.071 -2.687 1 0
-3.372 -0.591 -3.406 -0.346 1 0
-2.827 -1.987 -2.437 -2.449 1 0
-2.028 -2.836 -1.533 -3.132 1 0
-3.515 -0.14 -2.81 -2.116 1 0
-1.177 -3.348 -3.249 -1.428 1 0
-3.497 -0.77 -2.344 -2.707 1 0
-2.816 -2.262 -0.755 -3.532 1 0
-3.643 -0.064 -2.485 -2.664 1 0
-3.666 0.254 -3.143 -1.905 1 0
-1.835 -3.22 1.005 -3.567 1 0
-2.907 -2.35 0.163 -3.734 1 0
-2.543 -2.782 -3.467 1.48 1 0
-3.799 -0.101 0.584 -3.756 1 0
-2.491 -2.912 -3.211 -2.092 1 0
2.003 -3.304 1.133 -3.694 1 0
0.253 -3.887 -2.746 -2.762 1 0
