A, B, C, D, Label
 +1.784,  -2.192,  -1.100,  -2.604, classB
 +2.391,  -1.565,  +0.764,  -2.754, classB
 +2.477,   1.489,  +1.598,  -2.408, classB
 +1.351,  -2.590,  +2.736,  -1.023, classB
 +0.772,  -2.850,  +2.932,  -0.343, classB
 +2.290,  -1.913,  +2.935,   0.539, classB
 +2.783,  -1.159,  +2.902,  -0.820, classB
 +2.937,  -0.809,  +2.491,  -1.754, classB
 +2.480,  -1.824,  +2.649,  -1.568, classB
 +2.754,  -1.444,  +2.684,  -1.570, classB
 +1.731,  -2.621,  +2.676,   1.645, classB
 +2.656,  -1.735,  +2.989,  -1.063, classB
 +1.446,  -2.859,  +2.321,   2.209, classB
 +2.305,  -2.271,  +2.985,   1.248, classB
 +3.150,  -0.865,  +2.531,  -2.065, classB
 +3.148,  -0.983,  +2.302,   2.362, classB
 +3.293,  -0.490,  +2.864,   1.698, classB
 +3.187,   1.068,  +3.359,   0.099, classB
 +2.452,   2.344,  +3.375,  -0.340, classB
 +3.322,   0.829,  +3.381,  -0.538, classB
 +3.322,   0.949,  +3.298,  -1.030, classB
 +3.456,   0.459,  +3.089,   1.617, classB
 +3.149,   1.568,  +3.406,   0.881, classB
 +2.284,   2.717,  +3.232,  -1.466, classB
 +3.002,   1.951,  +2.993,   1.965, classB
 +3.283,   1.506,  +3.386,   1.258, classB
 +2.903,   2.203,  +2.704,   2.443, classB
 +1.845,   3.178,  +0.387,   3.655, classB
 +2.745,   2.490,  +0.045,   3.706, classB
 +2.917,   2.337,  +3.205,   1.923, classB
 +0.854,   3.671,  +2.172,   3.080, classB
 +1.477,   3.502,  +3.698,  -0.877, classB
 +0.967,   3.708,  -0.166,   3.828, classB
 +3.725,   1.023,  +0.151,   3.861, classB
 +1.443,   3.618,  -3.121,   2.331, classB
 +2.678,   2.871,  +0.426,   3.903, classB
 +1.353,   3.719,  -0.509,   3.925, classB
 +1.799,   3.561,  -0.994,   3.863, classB
 -0.179,   4.017,  -2.530,   3.125, classB
 -1.747,   3.656,  +2.358,   3.295, classB
 +0.097,   4.082,  +2.834,   2.940, classB
 +1.541,   3.815,  +0.782,   4.040, classB
 -0.189,   4.142,  +1.456,   3.882, classB
 -1.956,   3.692,  -2.574,   3.290, classB
 -3.039,   2.912,  -2.753,   3.184, classB
 -4.094,   1.107,  -0.971,   4.128, classB
 -1.241,   4.088,  +0.205,   4.267, classB
 -1.503,   4.032,  -2.365,   3.595, classB
 +1.655,   4.006,  -3.839,   2.013, classB
 -2.934,   3.233,  +2.187,   3.779, classB
 -3.646,   2.459,  -4.257,   1.103, classB
 -3.832,   2.221,  -3.533,   2.671, classB
 -2.066,   3.953,  -3.917,   2.134, classB
 -3.420,   2.912,  -2.637,   3.636, classB
 -3.630,   2.699,  -3.577,   2.769, classB
 -4.500,   0.705,  -4.555,  -0.022, classB
 -3.299,   3.186,  -3.850,   2.492, classB
 -4.614,   0.166,  -3.840,   2.564, classB
 -2.899,   3.635,  -4.631,   0.411, classB
 -4.571,   1.005,  -4.559,  -1.058, classB
 -1.926,   4.300,  -2.908,  -3.707, classB
 -4.586,   1.213,  -4.691,  -0.700, classB
 -3.957,   2.672,  -4.341,  -1.988, classB
 -4.227,   2.287,  -4.280,   2.187, classB
 +1.147,   1.249,  +1.369,   1.001, classA
 +1.624,   0.589,  +1.658,  -0.484, classA
 +1.639,  -0.637,  +1.759,  -0.006, classA
 +1.328,   1.201,  +1.733,   0.447, classA
 +1.795,  -0.310,  +1.739,   0.543, classA
 +1.823,  -0.329,  +1.718,   0.694, classA
 +1.711,  -0.790,  +1.183,   1.467, classA
 +1.285,   1.421,  +0.644,   1.804, classA
 +0.995,   1.673,  +1.940,  -0.166, classA
 +1.890,   0.584,  +1.809,   0.801, classA
 +1.866,   0.748,  +1.056,   1.710, classA
 +1.938,  -0.643,  +1.301,   1.573, classA
 +1.812,   1.007,  +1.959,   0.678, classA
 +1.717,  -1.217,  +1.536,   1.439, classA
 +0.569,   2.058,  +1.593,   1.423, classA
 +1.066,   1.887,  +1.679,   1.370, classA
 +2.173,   0.332,  +1.956,   1.004, classA
 +1.764,   1.365,  +1.502,   1.648, classA
 +0.061,   2.260,  +2.074,   0.901, classA
 +1.353,   1.851,  +2.028,   1.070, classA
 -1.034,   2.081,  -0.265,   2.309, classA
 -0.335,   2.332,  +1.117,   2.074, classA
 +1.379,   1.948,  +0.320,   2.365, classA
 +2.325,   0.664,  +2.062,   1.264, classA
 -0.469,   2.404,  +1.316,   2.066, classA
 +2.320,   0.880,  +2.319,   0.882, classA
 +1.722,   1.829,  +1.053,   2.281, classA
 -0.298,   2.526,  -0.369,   2.517, classA
 -2.563,   0.258,  -2.348,   1.057, classA
 -0.968,   2.421,  +1.123,   2.353, classA
 -0.477,   2.595,  -1.411,   2.229, classA
 -2.127,   1.614,  -1.060,   2.450, classA
 -1.215,   2.412,  -0.725,   2.602, classA
 -2.488,   1.129,  -1.037,   2.528, classA
 +0.194,   2.757,  -1.837,   2.065, classA
 -2.389,   1.452,  -2.555,   1.135, classA
 -0.587,   2.765,  -2.438,   1.431, classA
 -2.253,   1.759,  -1.832,   2.194, classA
 -2.817,  -0.643,  -1.806,   2.256, classA
 -1.988,   2.140,  -1.674,   2.394, classA
 -1.644,   2.452,  -2.404,   1.713, classA
 +0.888,   2.849,  -2.873,   0.807, classA
 -2.981,   0.455,  -0.683,   2.937, classA
 -2.898,   0.940,  -2.804,   1.192, classA
 -2.851,   1.159,  -3.012,   0.632, classA
 -2.902,   1.116,  -2.071,   2.320, classA
 -2.400,   2.027,  -2.554,   1.828, classA
 -2.945,   1.179,  -0.759,  -3.080, classA
 -3.204,   0.012,  -2.646,   1.806, classA
 -2.854,  -1.523,  -3.194,   0.516, classA
 -3.075,   1.101,  -1.999,   2.584, classA
 -3.071,  -1.203,  -3.288,   0.262, classA
 -3.082,  -1.259,  -2.139,  -2.551, classA
 -0.383,  -3.339,  -3.282,  -0.723, classA
 -2.510,   2.282,  -3.338,  -0.604, classA
 -3.162,   1.313,  -3.300,  -0.910, classA
 -3.238,  -1.206,  -3.378,  -0.727, classA
 -1.982,  -2.868,  -3.482,  -0.176, classA
 -3.500,   0.354,  -3.416,  -0.842, classA
 -2.932,  -2.000,  -1.696,  -3.118, classA
 -3.470,  -0.882,  -3.090,  -1.810, classA
 -0.763,  -3.531,  -2.004,  -3.005, classA
 -2.532,  -2.620,  -3.091,  -1.929, classA
 -3.172,  -1.856,  -0.642,  -3.618, classA
 -1.874,  -3.198,  -1.405,  -3.430, classA
 -1.863,  -3.241,  -3.720,  -0.368, classA
 -0.273,  -3.759,  -3.765,  -0.189, classA
 -1.451,  -3.513,  -2.365,  -2.975, classA
 -0.980,  -3.705,  +0.326,  -3.818, classA
 +1.138,  -3.692,  -2.293,  -3.110, classA
 -0.405,  -3.874,  -3.452,  -1.804, classA
 -2.824,  -2.728,  -2.820,  -2.732, classA
 +0.823,  -3.871,  -1.069,  -3.811, classA
 +0.789,  -3.910,  -0.287,  -3.979, classA
 -2.472,  -3.171,  -3.478,  -2.018, classA
 +2.068,  -3.485,  +1.280,  -3.845, classA
 +0.403,  -4.064,  -1.298,  -3.872, classA
 +1.088,  -3.968,  -0.231,  -4.108, classA
 +4.063,  -0.826,  -0.243,  -4.139, classA
 +4.033,  -1.089,  -2.223,  -3.537, classA
 +0.020,  -4.209,  +0.958,  -4.099, classA
 -0.144,  -4.238,  +1.871,  -3.805, classA
 +2.799,  -3.227,  +2.990,  -3.051, classA
 +0.477,  -4.277,  +3.683,  -2.225, classA
 +4.333,   0.126,  +4.102,  -1.400, classA
 +3.382,  -2.762,  +2.478,  -3.595, classA
 +3.536,  -2.614,  +0.325,  -4.386, classA
 +1.872,  -4.014,  +0.349,  -4.415, classA
 +1.749,  -4.103,  +2.511,  -3.686, classA
 +4.298,   1.305,  +4.025,  -1.994, classA
 +2.131,  -3.990,  +3.433,  -2.945, classA
 +4.318,  -1.448,  +4.536,   0.416, classA
 +4.557,   0.514,  +4.114,  -2.027, classA
 +3.883,   2.499,  +4.291,   1.706, classA
 +4.196,  -2.002,  +3.943,   2.462, classA
 +4.289,   1.875,  +0.257,  -4.673, classA
 +4.170,  -2.193,  +3.855,  -2.710, classA
 +4.724,   0.421,  +4.731,   0.332, classA
 +3.364,  -3.388,  +4.245,  -2.186, classA
 +2.606,  -4.038,  +4.784,  -0.462, classA
 -1.610,  -0.532,  -1.437,  -0.901, classB
 -1.446,  -0.945,  -1.726,   0.066, classB
 -1.742,   0.239,  -1.267,  -1.220, classB
 -1.493,  -0.988,  -1.772,   0.251, classB
 -1.483,  -1.058,  -1.797,  -0.299, classB
 -1.725,   0.676,  -1.828,   0.305, classB
 -1.362,  -1.303,  -1.615,  -0.970, classB
 -1.334,  -1.375,  -1.637,  -0.996, classB
 -1.453,  -1.296,  -0.955,  -1.697, classB
 -0.533,  -1.905,  -1.952,  -0.323, classB
 -1.178,  -1.628,  -1.494,  -1.345, classB
 -1.788,  -0.985,  -1.453,  -1.433, classB
 -1.932,  -0.750,  -1.349,  -1.574, classB
 -1.718,  -1.215,  -0.666,  -1.996, classB
 +0.436,  -2.091,  -1.867,  -1.037, classB
 -0.371,  -2.135,  -1.881,  -1.077, classB
 -2.008,  -0.896,  -1.105,  -1.901, classB
 +0.222,  -2.219,  -1.195,  -1.883, classB
 -1.858,  -1.288,  -1.728,  -1.459, classB
 +0.902,  -2.108,  +1.074,  -2.026, classB
 -0.940,  -2.126,  -2.263,  -0.528, classB
 -0.490,  -2.304,  -1.146,  -2.058, classB
 -0.834,  -2.236,  +0.299,  -2.368, classB
 +0.623,  -2.337,  -1.886,  -1.514, classB
 +0.661,  -2.359,  -1.313,  -2.068, classB
 -0.384,  -2.451,  -0.720,  -2.374, classB
 -0.301,  -2.495,  +0.255,  -2.500, classB
 -0.117,  -2.541,  +2.360,  -0.951, classB
 +2.497,  -0.630,  -0.844,  -2.433, classB
 -0.360,  -2.582,  +0.249,  -2.595, classB
 -0.099,  -2.636,  +0.591,  -2.571, classB
 +0.367,  -2.644,  +1.777,  -1.993, classB
 +2.355,  -1.322,  +2.158,  -1.624, classB
 +0.113,  -2.730,  +0.640,  -2.656, classB
 +2.145,  -1.743,  +1.798,  -2.099, classB
 +0.762,  -2.689,  +2.695,  -0.741, classB
 +0.166,  -2.822,  -1.625,  -2.313, classB
 +2.813,  -0.504,  +2.311,  -1.682, classB
 +0.626,  -2.821,  +2.786,  -0.768, classB
 +1.591,  -2.450,  +1.553,  -2.474, classB
 +2.861,  -0.730,  +1.132,  -2.727, classB
 +1.263,  -2.703,  +2.543,  -1.561, classB
 +2.928,  -0.721,  +2.931,   0.710, classB
 +2.950,  -0.763,  +1.934,  -2.354, classB
 +3.068,  -0.243,  +3.031,  -0.539, classB
 +3.000,   0.818,  +1.147,  -2.890, classB
 +2.463,  -1.949,  +2.656,  -1.676, classB
 +1.946,   2.506,  +3.049,  -0.875, classB
 +3.202,  -0.112,  +3.192,  -0.270, classB
 +3.039,   1.109,  +3.162,  -0.684, classB
 +3.048,   1.175,  +2.453,  -2.157, classB
 +2.987,  -1.398,  +2.957,  -1.460, classB
 +2.859,   1.706,  +3.001,   1.443, classB
 +3.288,   0.695,  +1.285,   3.105, classB
 +3.384,   0.230,  +2.966,  -1.646, classB
 +3.183,   1.260,  +3.299,   0.915, classB
 +0.909,   3.333,  +2.336,   2.546, classB
 +3.483,  -0.153,  +3.065,   1.661, classB
 +3.028,   1.791,  +2.642,   2.322, classB
 +2.553,   2.466,  +2.647,   2.365, classB
 +0.189,   3.576,  +3.531,   0.595, classB
 +3.583,  -0.462,  +3.332,   1.394, classB
 +3.315,   1.512,  +3.643,  -0.061, classB
 +3.384,   1.433,  +2.566,   2.630, classB
 -1.067,   3.550,  +2.754,   2.481, classB
 +0.124,   3.736,  -1.755,   3.300, classB
 +1.792,   3.316,  +1.436,   3.485, classB
 -0.381,   3.782,  +1.972,   3.249, classB
 +1.551,   3.504,  +2.534,   2.875, classB
 +3.294,   2.019,  -0.577,   3.820, classB
 +1.799,   3.454,  +1.913,   3.393, classB
 -1.217,   3.733,  +0.627,   3.876, classB
 -0.996,   3.830,  -0.673,   3.900, classB
 -0.648,   3.936,  -0.933,   3.878, classB
 -0.047,   4.020,  +1.474,   3.741, classB
 -0.240,   4.045,  -1.142,   3.888, classB
 -1.190,   3.906,  -3.669,   1.792, classB
 -1.172,   3.944,  -2.377,   3.359, classB
 +1.376,   3.911,  +1.574,   3.836, classB
 -1.171,   4.010,  +0.728,   4.114, classB
 -3.451,   2.410,  -0.389,   4.191, classB
 -0.718,   4.179,  +0.622,   4.195, classB
 -2.507,   3.459,  -1.708,   3.916, classB
 -2.912,   3.168,  -1.335,   4.091, classB
 -0.878,   4.245,  -0.902,   4.240, classB
 -2.287,   3.719,  -2.504,   3.577, classB
 -4.387,  -0.298,  -3.177,   3.040, classB
 -2.106,   3.896,  -1.288,   4.238, classB
 -2.740,   3.520,  -2.065,   3.954, classB
 -1.688,   4.163,  -3.255,   3.095, classB
 -0.919,   4.429,  -4.187,   1.712, classB
 -4.454,   0.952,  -4.081,   2.022, classB
 -4.118,  -2.018,  -3.591,   2.853, classB
 -3.943,   2.402,  -4.242,   1.823, classB
 -3.934,   2.477,  -2.252,   4.067, classB
 -4.395,   1.610,  -3.597,   2.995, classB
 -3.987,   2.510,  -3.937,   2.588, classB
 -4.301,  -1.999,  -4.504,   1.487, classB
 -4.366,   1.933,  -3.450,  -3.301, classB
 -0.891,   4.723,  -4.192,   2.350, classB
 +1.484,   0.821,  +1.683,   0.212, classA
 +1.657,  -0.489,  +1.249,   1.193, classA
 +1.665,  -0.566,  +1.641,   0.632, classA
 +1.734,   0.446,  +1.242,   1.289, classA
 +1.744,   0.527,  +1.813,   0.171, classA
 +1.328,   1.292,  +1.529,   1.046, classA
 +1.492,   1.151,  +1.874,   0.193, classA
 +1.865,  -0.440,  +1.855,   0.477, classA
 +1.570,   1.151,  +1.700,   0.950, classA
 +1.952,   0.326,  +1.963,   0.246, classA
 +0.641,   1.905,  +0.417,   1.966, classA
 +1.583,   1.289,  +1.639,   1.217, classA
 +0.742,   1.935,  -0.861,   1.885, classA
 -0.261,   2.088,  +1.951,   0.787, classA
 +1.490,   1.530,  +0.976,   1.900, classA
 -0.764,   2.028,  +0.214,   2.156, classA
 +1.802,   1.259,  +1.418,   1.680, classA
 +0.876,   2.050,  +1.780,   1.343, classA
 +1.394,   1.781,  +1.569,   1.628, classA
 +0.266,   2.277,  -0.414,   2.255, classA
 +1.493,   1.781,  -0.157,   2.319, classA
 -0.044,   2.355,  +1.118,   2.073, classA
 +0.089,   2.385,  -0.724,   2.274, classA
 +0.835,   2.270,  -1.202,   2.098, classA
 +1.960,   1.469,  +0.238,   2.438, classA
 +0.703,   2.380,  +0.560,   2.417, classA
 +1.169,   2.224,  +0.593,   2.442, classA
 -0.681,   2.451,  +1.944,   1.640, classA
 -0.402,   2.544,  -1.715,   1.921, classA
 -0.975,   2.418,  -0.495,   2.559, classA
 +1.298,   2.297,  +0.499,   2.591, classA
 +0.159,   2.665,  -1.308,   2.327, classA
 -0.859,   2.561,  -1.557,   2.207, classA
 -2.089,   1.761,  +2.179,   1.648, classA
 +0.822,   2.639,  -0.841,   2.633, classA
 -1.444,   2.394,  -1.000,   2.611, classA
 -1.103,   2.603,  +0.201,   2.820, classA
 -2.339,   1.642,  -2.381,   1.581, classA
 -0.558,   2.835,  -2.813,  -0.661, classA
 -1.717,   2.363,  -2.678,   1.166, classA
 -2.202,   1.967,  -2.713,   1.164, classA
 -2.978,   0.189,  -2.960,   0.376, classA
 -2.965,   0.548,  -2.275,   1.978, classA
 -2.789,   1.225,  -2.973,   0.665, classA
 -1.758,   2.527,  -3.055,   0.375, classA
 -3.080,  -0.427,  -3.009,   0.786, classA
 -3.101,   0.500,  -1.827,   2.555, classA
 -1.693,   2.683,  -3.150,  -0.377, classA
 -2.511,   1.989,  -2.426,   2.093, classA
 -3.235,  -0.065,  -2.970,  -1.283, classA
 -3.247,   0.361,  -3.258,  -0.236, classA
 -3.151,  -0.975,  -2.636,  -1.982, classA
 -3.254,  -0.704,  -2.642,   2.026, classA
 -2.921,  -1.662,  -2.125,  -2.604, classA
 -3.378,   0.316,  -2.670,   2.093, classA
 -3.317,  -0.847,  -3.368,  -0.616, classA
 -3.450,  -0.187,  -3.171,  -1.373, classA
 +0.234,  -3.479,  -2.728,  -2.171, classA
 -3.260,  -1.322,  -3.216,  -1.426, classA
 -3.271,  -1.378,  -2.772,  -2.216, classA
 -1.156,  -3.389,  -0.933,  -3.457, classA
 -2.178,  -2.882,  -3.549,  -0.673, classA
 -2.665,  -2.485,  -2.622,  -2.530, classA
 -2.943,  -2.201,  -0.708,  -3.606, classA
 -1.598,  -3.344,  -2.268,  -2.931, classA
 -2.080,  -3.106,  -1.659,  -3.349, classA
 -2.914,  -2.391,  -2.920,  -2.384, classA
 -3.760,  -0.557,  -2.567,  -2.803, classA
 -2.876,  -2.533,  -3.684,  -1.055, classA
 -0.288,  -3.853,  -1.186,  -3.677, classA
 -1.250,  -3.689,  +0.901,  -3.789, classA
 -0.189,  -3.922,  -0.720,  -3.860, classA
 -3.273,  -2.225,  +1.262,  -3.751, classA
 +0.483,  -3.960,  +0.668,  -3.933, classA
 +2.241,  -3.338,  -1.959,  -3.511, classA
 +2.982,  -2.743,  +2.736,  -2.988, classA
 -1.898,  -3.615,  -0.018,  -4.083, classA
 +1.951,  -3.623,  -2.072,  -3.555, classA
 +0.542,  -4.111,  +2.667,  -3.175, classA
 +0.561,  -4.140,  +2.893,  -3.014, classA
 +2.831,  -3.115,  +3.816,  -1.775, classA
 +2.245,  -3.598,  +0.065,  -4.240, classA
 +3.037,  -3.005,  -0.738,  -4.208, classA
 +2.024,  -3.798,  +4.073,  -1.388, classA
 +2.745,  -3.355,  -0.810,  -4.258, classA
 +2.001,  -3.880,  +3.667,  -2.370, classA
 +2.959,  -3.253,  +2.475,  -3.635, classA
 +4.412,   0.384,  +2.574,  -3.604, classA
 +0.937,  -4.361,  +1.230,  -4.288, classA
 +4.478,  -0.348,  +0.886,  -4.403, classA
 +4.522,   0.094,  +1.657,  -4.209, classA
 +4.051,  -2.081,  +1.381,  -4.340, classA
 +3.480,  -2.986,  +3.687,  -2.727, classA
 +4.367,  -1.499,  +2.915,  -3.581, classA
 +4.608,   0.617,  +4.648,  -0.089, classA
 +4.627,   0.704,  +4.562,  -1.048, classA
 +4.693,  -0.423,  +3.349,  -3.315, classA
 +4.740,  -0.173,  +4.410,  -1.746, classA
 +4.775,  -0.009,  +4.494,  -1.612, classA
 +4.690,  -1.048,  +4.777,  -0.528, classA
 -1.666,   0.316,  -1.423,  -0.923, classB
 -1.658,   0.485,  -1.721,   0.145, classB
 -0.854,  -1.537,  -1.250,  -1.237, classB
 -1.744,  -0.402,  -1.748,   0.385, classB
 -1.502,   1.030,  -1.474,   1.070, classB
 -0.037,  -1.853,  -1.794,  -0.464, classB
 -1.318,  -1.347,  -1.364,   1.300, classB
 -1.389,  -1.319,  -1.808,  -0.633, classB
 -1.915,  -0.353,  -1.680,  -0.984, classB
 -1.670,  -1.062,  -1.977,   0.067, classB
 -1.743,  -1.001,  -1.910,  -0.627, classB
 -1.925,  -0.679,  -1.944,  -0.624, classB
 -0.811,  -1.907,  -0.819,  -1.904, classB
 -2.055,   0.452,  -2.103,  -0.080, classB
 -1.920,  -0.936,  -1.726,  -1.257, classB
 +0.628,  -2.074,  -1.129,  -1.850, classB
 -1.185,  -1.852,  -1.505,  -1.603, classB
 -1.946,  -1.089,  -1.665,  -1.483, classB
 +0.122,  -2.258,  -0.090,  -2.260, classB
 -1.229,  -1.935,  +1.843,  -1.363, classB
 -0.150,  -2.319,  -0.951,  -2.121, classB
 -0.363,  -2.327,  +0.353,  -2.329, classB
 -1.566,  -1.801,  +1.162,  -2.085, classB
 +0.403,  -2.385,  -0.594,  -2.344, classB
 -1.419,  -1.997,  -2.306,  -0.826, classB
 +1.760,  -1.749,  -0.491,  -2.432, classB
 +0.126,  -2.509,  +0.279,  -2.497, classB
 -0.769,  -2.425,  -1.137,  -2.276, classB
 +0.583,  -2.509,  -0.471,  -2.532, classB
 +0.944,  -2.430,  +1.249,  -2.288, classB
 +0.605,  -2.568,  +0.163,  -2.633, classB
 +1.296,  -2.334,  +0.218,  -2.661, classB
 -0.005,  -2.701,  +1.019,  -2.502, classB
 +2.262,  -1.532,  +1.126,  -2.490, classB
 +2.083,  -1.816,  +1.770,  -2.123, classB
 +2.219,  -1.700,  -0.753,  -2.692, classB
 +1.429,  -2.439,  +2.152,  -1.833, classB
 +1.254,  -2.569,  +1.702,  -2.296, classB
 +2.042,  -2.045,  +2.886,   0.150, classB
 +1.972,  -2.155,  +1.291,  -2.620, classB
 +2.095,  -2.080,  +2.867,   0.705, classB
 +2.983,  -0.065,  +2.057,  -2.161, classB
 +2.991,   0.385,  +2.738,  -1.262, classB
 +1.739,  -2.502,  +1.872,  -2.403, classB
 +3.018,   0.606,  +2.615,  -1.624, classB
 +3.095,   0.302,  +2.413,  -1.962, classB
 +2.055,  -2.375,  +2.282,  -2.158, classB
 +1.345,  -2.873,  +3.000,   1.031, classB
 +3.138,  -0.647,  +2.910,   1.340, classB
 +2.822,  -1.582,  +3.095,   0.943, classB
 +2.789,  -1.700,  +3.069,   1.119, classB
 +3.289,   0.247,  +3.243,   0.598, classB
 +3.153,  -1.070,  +3.318,  -0.276, classB
 +3.162,   1.138,  +3.322,   0.512, classB
 +3.032,   1.522,  +2.583,   2.199, classB
 +2.988,   1.672,  +2.306,   2.531, classB
 +2.950,   1.799,  +2.714,   2.138, classB
 +3.431,   0.620,  +2.182,   2.719, classB
 +3.000,   1.837,  +2.837,   2.080, classB
 -0.911,   3.430,  +0.699,   3.480, classB
 +2.953,   2.025,  +3.083,   1.821, classB
 +3.607,  -0.196,  +2.317,   2.771, classB
 -0.205,   3.638,  +3.641,   0.129, classB
 +0.970,   3.545,  +3.673,  -0.110, classB
 +3.624,   0.779,  +3.658,  -0.600, classB
 +3.673,   0.696,  +0.101,   3.736, classB
 +2.570,   2.757,  +3.258,   1.896, classB
 +3.161,   2.111,  -1.548,   3.471, classB
 +2.654,   2.764,  +2.784,   2.633, classB
 +2.793,   2.669,  -2.211,   3.168, classB
 -0.665,   3.838,  +0.036,   3.895, classB
 +3.894,  -0.505,  +1.212,   3.735, classB
 -1.003,   3.828,  +0.149,   3.955, classB
 +0.171,   3.986,  -3.010,   2.618, classB
 +0.738,   3.952,  +0.984,   3.898, classB
 -2.203,   3.400,  -1.109,   3.897, classB
 -0.448,   4.059,  +3.300,   2.406, classB
 -0.140,   4.112,  +4.056,  -0.695, classB
 -1.453,   3.883,  +1.974,   3.646, classB
 -0.921,   4.075,  -0.943,   4.070, classB
 -4.077,   1.045,  +0.926,   4.106, classB
 -3.425,   2.500,  -1.657,   3.903, classB
 -2.417,   3.522,  -2.430,   3.513, classB
 -1.924,   3.849,  -3.593,   2.369, classB
 -3.495,   2.564,  -2.249,   3.706, classB
 +2.621,   3.492,  -1.144,   4.214, classB
 -2.047,   3.892,  -3.336,   2.866, classB
 -3.721,   2.403,  -3.813,   2.254, classB
 -4.374,   0.874,  -3.721,   2.460, classB
 -4.228,   1.516,  -0.866,   4.408, classB
 -4.202,  -1.674,  -1.803,   4.148, classB
 -4.540,   0.365,  -3.678,   2.687, classB
 -4.410,   1.257,  -3.374,   3.106, classB
 -4.041,   2.235,  -2.801,   3.671, classB
 -4.635,   0.359,  -4.204,  -1.984, classB
 -3.878,  -2.620,  -2.839,  -3.721, classB
 -4.607,  -0.986,  -4.619,  -0.932, classB
 -4.159,   2.281,  -4.685,   0.742, classB
 -4.747,  -0.511,  -4.721,  -0.712, classB
 -2.434,   4.144,  -3.868,   2.852, classB
 +1.389,  -0.973,  +1.674,   0.274, classA
 +1.675,   0.423,  +1.578,   0.701, classA
 +1.417,   1.042,  +0.898,   1.512, classA
 +1.343,   1.184,  +1.767,   0.286, classA
 +1.631,  -0.811,  +0.672,  -1.693, classA
 +1.158,   1.446,  +1.267,   1.352, classA
 +1.318,   1.347,  +1.675,   0.862, classA
 +1.637,   0.995,  +0.689,   1.787, classA
 +1.922,   0.310,  +1.947,  -0.007, classA
 +1.841,   0.725,  +1.388,   1.410, classA
 +0.694,   1.886,  +1.955,   0.465, classA
 +1.531,   1.350,  +1.459,   1.428, classA
 +0.893,   1.870,  -0.053,   2.072, classA
 +1.904,   0.896,  +0.894,   1.905, classA
 +0.112,   2.133,  +1.747,   1.228, classA
 -0.059,   2.166,  -0.286,   2.148, classA
 +1.925,   1.061,  +1.077,   1.917, classA
 +0.978,   2.004,  +1.542,   1.611, classA
 +0.717,   2.144,  +0.832,   2.102, classA
 +2.177,   0.718,  -0.493,   2.239, classA
 +2.053,   1.090,  +0.476,   2.275, classA
 +1.786,   1.536,  -0.588,   2.281, classA
 -0.024,   2.387,  +0.270,   2.372, classA
 +0.585,   2.346,  +1.204,   2.097, classA
 -0.543,   2.389,  -1.066,   2.206, classA
 -1.105,   2.221,  -0.864,   2.326, classA
 +1.439,   2.060,  -0.618,   2.436, classA
 -0.594,   2.474,  -1.338,   2.164, classA
 +0.409,   2.543,  +0.228,   2.565, classA
 -0.644,   2.526,  -1.864,   1.823, classA
 -1.282,   2.306,  -0.765,   2.525, classA
 -0.654,   2.588,  -1.625,   2.118, classA
 -2.049,   1.760,  -2.147,   1.639, classA
 -2.357,   1.382,  -1.516,   2.273, classA
 +0.727,   2.667,  -0.202,   2.757, classA
 -0.279,   2.781,  -0.386,   2.769, classA
 -1.955,   2.041,  -1.991,   2.007, classA
 +1.945,   2.094,  -2.708,   0.914, classA
 +0.442,   2.856,  -2.879,   0.244, classA
 -2.248,   1.865,  -2.482,   1.540, classA
 -2.819,   0.878,  -2.753,   1.066, classA
 -2.659,   1.354,  +1.481,   2.590, classA
 -2.170,   2.093,  -2.731,   1.278, classA
 -2.975,   0.658,  -2.997,   0.547, classA
 -2.125,   2.227,  -1.837,  -2.470, classA
 -3.065,  -0.527,  -2.949,   0.986, classA
 -1.915,   2.489,  -2.107,  -2.329, classA
 -3.126,   0.540,  -3.024,  -0.959, classA
 -2.939,  -1.275,  -3.018,   1.075, classA
 -3.207,   0.428,  -3.233,  -0.119, classA
 -3.133,  -0.923,  -2.865,   1.568, classA
 -2.794,  -1.753,  -1.982,   2.636, classA
 -3.326,   0.159,  -3.218,   0.853, classA
 -3.054,  -1.402,  -3.277,  -0.748, classA
 -2.329,  -2.466,  -3.388,  -0.160, classA
 -3.422,   0.090,  -2.454,  -2.387, classA
 -2.870,  -1.924,  -1.855,  -2.915, classA
 -3.413,  -0.711,  -2.794,  -2.085, classA
 -3.169,  -1.527,  -3.361,  -1.038, classA
 -3.543,   0.218,  -2.941,  -1.987, classA
 -2.738,  -2.308,  -2.515,  -2.549, classA
 -3.062,  -1.917,  -2.494,  -2.613, classA
 -3.643,  -0.046,  -1.226,  -3.431, classA
 -3.304,  -1.609,  +0.335,  -3.660, classA
 -2.197,  -2.985,  -3.354,  -1.577, classA
 +0.062,  -3.737,  -1.990,  -3.164, classA
 -3.297,  -1.826,  +2.381,  -2.922, classA
 -1.214,  -3.601,  +0.121,  -3.799, classA
 +0.924,  -3.719,  +0.260,  -3.823, classA
 -3.075,  -2.339,  +1.870,  -3.381, classA
 -0.511,  -3.861,  +0.048,  -3.895, classA
 -2.699,  -2.852,  -3.256,  -2.195, classA
 -0.835,  -3.869,  -0.041,  -3.958, classA
 -2.421,  -3.171,  +0.856,  -3.896, classA
 -3.353,  -2.218,  +2.581,  -3.083, classA
